start_idxs,isopl_1st_half,isoev_1st_half,isopl_2nd_half,isoev_2nd_half,prediction_fpath
1165,-0.0679589327424764,-0.0066829925402999,-0.0370232239365577,-0.0532746136188506,S0014
1082,0.3464583456516266,-0.2281592920422553,0.3566233098506927,-0.2273872926831245,S0019
559,0.0954174860380589,0.0477664649486541,0.0531393229961395,0.096093937754631,S0025
403,-0.0227907199412584,-0.0992371447384357,-0.0928571075201034,-0.1345889665186405,S0030
1144,0.3386924982070923,-0.3059849441051482,0.3390637934207916,-0.2698879569768905,S0032
625,0.0164034074172377,0.2909327894449234,0.0369626238010823,0.3209102362394332,S0036
647,0.3186693966388702,-0.3973238706588745,0.3218959391117096,-0.4114437162876129,S0051
1184,0.3333305895328521,-0.197280641272664,0.3343457221984863,-0.2304018750786781,S0060
1663,0.2679331302642821,0.3099913239479064,0.1044977396726607,0.0127592705190181,S0022
990,-0.1164977073669433,-0.1494928687810897,-0.1705642390996217,-0.2347006112337112,S0006
852,-0.2104527741670608,0.0614834800362586,-0.2570050299167633,0.0701905146241187,S0002
331,0.0468129377812147,0.4560082733631134,0.0223875433206558,0.3284076571464538,S0023
1427,0.3272428452968597,-0.1467592380940914,0.4123062908649444,-0.0109825434163213,S0056
1189,0.0140522672794759,0.2340197384357452,0.0717037024907767,0.2606427311897277,S0047
716,-0.2806342244148254,0.1491778314113616,-0.2971741884946823,0.1344951891340315,S0020
1427,-0.1875763475894927,0.3734126329421997,-0.1568350955843925,0.2932143956422805,S0041
960,0.3334147095680236,-0.394315093755722,0.3382917046546936,-0.4684273302555084,S0001
93,0.2810192406177521,0.1629222027957438,0.2845647424459457,0.0711922787129878,S0048
422,-0.0454916179180145,0.0024213403463363,-0.2859539777040482,0.0054218219593167,S0004
53,0.4037680208683014,-0.3718337923288345,0.4233642578125,-0.362381562590599,S0035
763,0.0283233948051929,-0.3064767271280288,0.0557189106941223,-0.3392029583454132,S0049
103,-0.1075409207027405,-0.1031728647649287,-0.2455893903970718,-0.0410172374919056,S0016
354,0.0376022919081151,0.0163177415728569,0.1713638842105865,0.3269046753644943,S0031
416,0.1078123971819877,0.2471460878849029,0.1684863552451133,0.1905114859342574,S0011
1722,-0.1963222742080688,0.2674624055624008,-0.2250539690256118,0.2563572466373444,S0042
554,0.2242999643087386,-0.2428773134946822,0.2475610107183456,0.0842826060950755,S0024
465,0.0038313226192258,0.3952298760414123,0.0167798059061169,0.3680603682994842,S0015
1346,0.2807736545801162,-0.25198754388839,0.0795529158785939,-0.1132020246237516,S0010
1432,-0.1550652753561735,-0.0059441111981868,-0.2120447099208831,-0.0063906540628522,S0058
175,0.2960791647434234,-0.3186529338359832,0.2869386315345764,-0.0961261361837386,S0018
759,0.1514179930090903,0.1455255582928656,0.1909064531326293,0.1112803637981414,S0062
315,0.2486700773239135,-0.3301215022802353,0.2312096774578094,-0.203008110821247,S0028
280,0.1690604284405708,0.2689451366662979,0.1128833762370049,0.2611174076795577,S0012
1335,0.3283330470323562,-0.3803126752376556,0.2459211945533752,-0.0983564941212534,S0053
38,0.3102069199085235,-0.2353158935904502,0.1941149398684501,-0.2524144515395164,S0039
816,-0.2210953921079635,0.0088719657622277,-0.244081225991249,0.2261575251817703,S0059
1279,-0.1350395683199166,0.0616710320115089,-0.2012260168790816,0.061548264697194,S0037
1258,0.1887986958026885,-0.3065342336893081,0.1499127134680747,-0.3181786507368088,S0038
581,-0.1690627753734588,0.2685764521360397,-0.2046057790517806,0.2833166614174843,S0009
1584,0.294679507613182,-0.2401990443468093,0.0720843236893415,-0.1338454276323318,S0026
688,0.2077529668807983,0.0712616581469773,0.2138089850544929,0.1005220571532845,S0045
37,0.3388662099838256,-0.0449760250747203,0.3141382753849029,-0.0014812044799327,S0029
419,-0.0023623317480087,0.0395794134587049,-0.0083228282630443,0.0652709335088729,S0013
381,-0.2282087758183479,-0.0446375077590346,-0.2310738414525985,-0.0880358710885047,S0040
1039,-0.0261269392445683,0.2521546557545662,-0.0319918440654873,0.297678142786026,S0044
308,0.1804626286029815,-0.2941325038671493,0.1981420829892158,-0.1797147288918494,S0061
511,-0.1695297539234161,0.0707761078141629,-0.138430567830801,0.1671627923846244,S0021
687,-0.075245801731944,0.0049099124968051,-0.069656066596508,0.2860522240400314,S0057
1201,0.3423043251037597,-0.0259867727290839,0.2680363267660141,-0.2673992723226547,S0055
234,0.0388396237976848,-0.121229837834835,-0.0342102114111185,-0.1476938042789697,S0007
637,0.1624981686472892,-0.2669202208518981,0.1491679362952708,-0.245236550271511,S0003
1362,-0.2171922802925109,0.2459349304437637,-0.2429441779851913,0.1495547588914632,S0034
1384,-0.1027358438353985,-0.0666285019367932,-0.1470094636082649,-0.0938727434724569,S0043
272,0.1576863124966621,0.1907852679491042,0.1850091695785522,0.1511953882873058,S0027
533,0.0994485200382769,-0.1305837425403296,0.0580081725493073,-0.2081667885184288,S0005
856,0.1173296526074409,-0.0830388404428958,0.1616268716752528,0.0796234080567955,S0050
951,-0.2252930045127868,0.1604356504976749,-0.2108743518590926,0.2265768516808747,S0046
1687,-0.0063108134083449,-0.126851551234722,-0.0673004433512687,-0.1319952949881553,S0054
242,0.3221322536468506,-0.4077398836612701,0.346421468257904,-0.4067138493061065,S0033
119,0.0577252524904906,-0.2383400946855544,0.0009622873272746,-0.1175200454890727,S0008
822,0.0825466431677341,0.4112290799617767,0.0456893391907215,0.3507193446159363,S0052
263,-0.1894467085599898,0.1623636089265346,-0.2209161281585693,0.1928692944347858,S0017
